Column,Value,Count
색상_L*,53.14,2
색상_L*,83.32,2
색상_L*,76.745,2
색상_L*,30.0725,2
색상_L*,39.185,2
색상_L*,77.565,2
색상_L*,25.455,2
색상_L*,50.854,2
색상_L*,41.3,2
색상_L*,35.54,2
색상_L*,55.8,2
색상_L*,50.92,2
색상_L*,78.87,2
색상_L*,25.05,2
색상_L*,39.285,2
색상_L*,40.635,2
색상_L*,79.135,2
색상_L*,38.465,2
색상_L*,27.67,2
색상_L*,20.73,2
색상_L*,41.22,2
색상_L*,19.51,2
색상_L*,40.22,2
색상_L*,51.08,2
색상_L*,76.055,2
색상_L*,78.625,2
색상_L*,29.51,2
색상_L*,73.37,2
색상_L*,50.895,2
색상_L*,47.594,2
색상_L*,72.9025,2
색상_L*,75.295,2
색상_L*,75.135,2
색상_L*,50.209,2
색상_L*,84.71,2
색상_L*,19.39,2
색상_L*,77.15,2
색상_L*,34.245,2
색상_L*,76.03,2
색상_L*,73.23,2
색상_L*,32.49,2
색상_L*,37.975,2
색상_L*,79.01,2
색상_L*,39.5,2
색상_L*,55.7615,2
색상_L*,72.665,2
색상_L*,78.92,2
색상_L*,77.49,2
색상_L*,20.85,2
색상_L*,75.12,2
색상_L*,76.96,2
색상_L*,76.81,2
색상_L*,34.6175,2
색상_L*,44.779,2
색상_L*,54.1325,2
색상_L*,76.115,2
색상_L*,31.16,2
색상_L*,55.475,2
색상_L*,48.26,2
색상_L*,25.42,2
색상_L*,34.61,2
색상_L*,44.765,2
색상_L*,33.93,2
색상_L*,34.7,2
색상_L*,25.6325,2
색상_L*,29.625,2
색상_L*,76.345,2
색상_L*,18.315,2
색상_L*,79.73,2
색상_L*,48.22,2
색상_L*,20.685,2
색상_L*,76.035,2
색상_L*,54.66,2
색상_L*,40.14,2
색상_L*,76.705,2
색상_L*,75.515,2
색상_L*,52.654,2
색상_L*,77.975,2
색상_L*,53.425,2
색상_L*,39.85,2
색상_L*,79.89,2
색상_L*,77.06,2
색상_L*,54.405,2
색상_L*,56.63,2
색상_L*,21.495,2
색상_L*,77.545,2
색상_L*,80.4015,2
색상_L*,24.11,2
색상_L*,76.36,2
색상_L*,75.97,2
색상_L*,30.8,2
색상_L*,75.745,2
색상_L*,76.55,2
색상_L*,79.185,2
색상_L*,54.48,2
색상_L*,21.275,2
색상_L*,27.69,2
색상_L*,53.06,2
색상_L*,35.365,2
색상_L*,32.52,2
색상_L*,49.68,2
색상_L*,75.3,2
색상_L*,77.4765,2
색상_L*,75.35,2
색상_L*,75.31,2
색상_L*,18.58,2
색상_L*,72.995,2
색상_L*,21.205,2
색상_L*,81.69,2
색상_L*,39.65,2
색상_L*,21.13,2
색상_L*,80.295,2
색상_L*,23.37,2
색상_L*,39.625,2
색상_L*,34.875,2
색상_L*,37.905,2
색상_L*,37.875,2
색상_L*,74.295,2
색상_L*,39.1265,2
색상_L*,86.61,2
색상_L*,32.82,2
색상_L*,48.41,2
색상_L*,71.01,2
색상_L*,35.77,2
색상_L*,30.21,2
색상_L*,29.79,2
색상_L*,49.43,2
색상_L*,21.04,2
색상_L*,88.62,2
색상_L*,61.625,2
색상_L*,78.01,2
색상_L*,43.715,2
색상_L*,54.115,2
색상_L*,43.905,2
색상_L*,54.27,2
색상_L*,50.81,2
색상_L*,31.375,2
색상_L*,82.3015,2
색상_L*,31.315,2
색상_L*,82.338,2
색상_L*,75.52,2
색상_L*,75.455,2
색상_L*,82.309,2
색상_L*,18.81,2
색상_L*,45.965,2
색상_L*,17.62,2
색상_L*,31.36,2
색상_L*,49.185,2
색상_L*,18.89,2
색상_L*,19.13,2
색상_L*,75.89,2
색상_L*,30.91,2
색상_L*,61.73,2
색상_L*,57.47,2
색상_L*,59.09,2
색상_L*,80.419,1
색상_L*,72.9655,1
색상_L*,80.3365,1
색상_L*,71.5155,1
색상_L*,71.7555,1
색상_L*,71.5165,1
색상_L*,71.7115,1
색상_L*,56.3515,1
색상_L*,72.934,1
색상_L*,56.494,1
색상_L*,56.3125,1
색상_L*,71.65,1
색상_L*,71.81,1
색상_L*,71.2905,1
색상_L*,72.9405,1
색상_L*,56.1575,1
색상_L*,72.9215,1
색상_L*,71.32,1
색상_L*,34.083,1
색상_L*,75.629,1
색상_L*,72.8305,1
색상_L*,72.7215,1
색상_L*,53.848,1
색상_L*,53.8455,1
색상_L*,52.794,1
색상_L*,52.969,1
색상_L*,78.339,1
색상_L*,53.0625,1
색상_L*,78.2255,1
색상_L*,53.3375,1
색상_L*,53.583,1
색상_L*,78.0675,1
색상_L*,53.524,1
색상_L*,53.849,1
색상_L*,54.315,1
색상_L*,78.139,1
색상_L*,54.39,1
색상_L*,75.7815,1
색상_L*,75.6615,1
색상_L*,75.6665,1
색상_L*,78.2865,1
색상_L*,71.7315,1
색상_L*,72.5255,1
색상_L*,72.9715,1
색상_L*,73.208,1
색상_L*,75.948,1
색상_L*,78.464,1
색상_L*,75.788,1
색상_L*,75.735,1
색상_L*,80.348,1
색상_L*,78.4565,1
색상_L*,75.708,1
색상_L*,75.7005,1
색상_L*,75.7,1
색상_L*,78.359,1
색상_L*,56.613,1
색상_L*,48.689,1
색상_L*,56.619,1
색상_L*,26.6105,1
색상_L*,26.4065,1
색상_L*,26.3865,1
색상_L*,53.3415,1
색상_L*,39.483,1
색상_L*,39.1705,1
색상_L*,26.5675,1
색상_L*,26.224,1
색상_L*,77.314,1
색상_L*,77.2755,1
색상_L*,39.1665,1
색상_L*,77.333,1
색상_L*,77.2825,1
색상_L*,39.044,1
색상_L*,77.373,1
색상_L*,77.4375,1
색상_L*,26.4205,1
색상_L*,30.8425,1
색상_L*,39.009,1
색상_L*,30.454,1
색상_L*,33.0065,1
색상_L*,30.8755,1
색상_L*,30.3405,1
색상_L*,30.4765,1
색상_L*,30.6165,1
색상_L*,30.664,1
색상_L*,34.4765,1
색상_L*,34.3705,1
색상_L*,34.4815,1
색상_L*,34.3505,1
색상_L*,34.2375,1
색상_L*,30.929,1
색상_L*,33.809,1
색상_L*,34.2215,1
색상_L*,30.9015,1
색상_L*,77.4705,1
색상_L*,77.47,1
색상_L*,80.3265,1
색상_L*,71.194,1
색상_L*,47.969,1
색상_L*,71.034,1
색상_L*,71.084,1
색상_L*,47.6875,1
색상_L*,71.3005,1
색상_L*,71.1655,1
색상_L*,71.2465,1
색상_L*,56.813,1
색상_L*,71.439,1
색상_L*,80.518,1
색상_L*,80.245,1
색상_L*,80.329,1
색상_L*,56.5565,1
색상_L*,56.7565,1
색상_L*,80.3415,1
색상_L*,70.869,1
색상_L*,48.1165,1
색상_L*,77.519,1
색상_L*,48.1565,1
색상_L*,77.5415,1
색상_L*,77.6465,1
색상_L*,77.5575,1
색상_L*,77.579,1
색상_L*,77.544,1
색상_L*,38.9115,1
색상_L*,77.5005,1
색상_L*,77.574,1
색상_L*,77.655,1
색상_L*,38.6565,1
색상_L*,39.379,1
색상_L*,77.68,1
색상_L*,71.208,1
색상_L*,48.313,1
색상_L*,48.2125,1
색상_L*,53.1065,1
색상_L*,57.119,1
색상_L*,53.4075,1
색상_L*,42.748,1
색상_L*,21.875,1
색상_L*,21.939,1
색상_L*,22.0155,1
색상_L*,22.099,1
색상_L*,22.104,1
색상_L*,22.0505,1
색상_L*,22.078,1
색상_L*,43.5465,1
색상_L*,43.1465,1
색상_L*,42.2415,1
색상_L*,22.228,1
색상_L*,42.1215,1
색상_L*,43.1505,1
색상_L*,43.0425,1
색상_L*,42.6365,1
색상_L*,80.57,1
색상_L*,80.379,1
색상_L*,80.373,1
색상_L*,80.0655,1
색상_L*,80.3355,1
색상_L*,21.894,1
색상_L*,26.393,1
색상_L*,25.9755,1
색상_L*,47.6325,1
색상_L*,26.17,1
색상_L*,26.294,1
색상_L*,26.239,1
색상_L*,26.3965,1
색상_L*,26.359,1
색상_L*,55.23,1
색상_L*,47.2305,1
색상_L*,47.585,1
색상_L*,47.569,1
색상_L*,47.55,1
색상_L*,44.5305,1
색상_L*,47.518,1
색상_L*,46.989,1
색상_L*,49.2415,1
색상_L*,45.169,1
색상_L*,45.4925,1
색상_L*,44.9425,1
색상_L*,44.9275,1
색상_L*,44.918,1
